Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female
Ethnic origin population,    Antiguan,,40,,20,,20
Ethnic origin population,    Bahamian,,25,,15,,10
Ethnic origin population,    Barbadian,,340,,175,,165
Ethnic origin population,    Bermudan,,20,,10,,10
Ethnic origin population,    Carib,,25,,0,,15
Ethnic origin population,    Cuban,,390,,165,,220
Ethnic origin population,    Dominican,,350,,185,,160
Ethnic origin population,    Grenadian,,165,,80,,85
Ethnic origin population,    Guadeloupean,,0,,0,,0
Ethnic origin population,    Haitian,,55,,30,,30
Ethnic origin population,    Jamaican,,3905,,1815,,2090
Ethnic origin population,    Kittitian/Nevisian,,25,,10,,15
Ethnic origin population,    Martinican,,0,,0,,0
Ethnic origin population,    Montserratan,,0,,0,,10
Ethnic origin population,    Puerto Rican,,0,,0,,0
Ethnic origin population,    St. Lucian,,20,,10,,10
Ethnic origin population,    Trinidadian/Tobagonian,,790,,430,,355
Ethnic origin population,    Vincentian/Grenadinian,,175,,85,,95
Ethnic origin population,    West Indian; n.o.s.,114,1140,,510,,630
Ethnic origin population,    Caribbean origins; n.i.e.,115,295,,140,,155
Ethnic origin population,  Latin; Central and South American origins,,10460,,5040,,5420
Ethnic origin population,    Aboriginal from Central/South America (except Arawak and Maya),,275,,115,,160
Ethnic origin population,    Arawak,,0,,0,,10
Ethnic origin population,    Argentinian,,700,,345,,350
Ethnic origin population,    Belizean,,0,,0,,0
Ethnic origin population,    Bolivian,,35,,15,,15
Ethnic origin population,    Brazilian,,570,,260,,310
Ethnic origin population,    Chilean,,520,,250,,265
Ethnic origin population,    Colombian,,1225,,605,,615
Ethnic origin population,    Costa Rican,,130,,60,,65
Ethnic origin population,    Ecuadorian,,1940,,870,,1070
Ethnic origin population,    Guatemalan,,300,,130,,170
Ethnic origin population,    Guyanese,,1760,,770,,985
Ethnic origin population,    Hispanic,,245,,140,,105
Ethnic origin population,    Honduran,,125,,65,,60
Ethnic origin population,    Maya,,10,,10,,0
Ethnic origin population,    Mexican,,725,,380,,345
Ethnic origin population,    Nicaraguan,,345,,185,,160
Ethnic origin population,    Panamanian,,40,,30,,10
Ethnic origin population,    Paraguayan,,20,,20,,0
Ethnic origin population,    Peruvian,,565,,325,,245
Ethnic origin population,    Salvadorean,,695,,365,,335
Ethnic origin population,    Uruguayan,,180,,85,,100
Ethnic origin population,    Venezuelan,,255,,95,,155
Ethnic origin population,    Latin; Central and South American origins; n.i.e.,116,520,,270,,250
Ethnic origin population,  African origins,,9830,,4990,,4840
Ethnic origin population,    Central and West African origins,,1725,,835,,890
Ethnic origin population,      Akan,,30,,15,,10
Ethnic origin population,      Angolan,,20,,10,,10
Ethnic origin population,      Ashanti,,20,,10,,10
Ethnic origin population,      Beninese,,0,,0,,0
Ethnic origin population,      Burkinabe,,10,,10,,0
Ethnic origin population,      Cameroonian,,50,,25,,30
Ethnic origin population,      Chadian,,0,,0,,0
Ethnic origin population,      Congolese,,40,,30,,10
Ethnic origin population,      Edo,,30,,15,,10
Ethnic origin population,      Ewe,,0,,0,,0
Ethnic origin population,      Gabonese,,0,,0,,0
Ethnic origin population,      Gambian,,0,,0,,10
Ethnic origin population,      Ghanaian,,720,,355,,365
Ethnic origin population,      Guinean,,10,,10,,0
Ethnic origin population,      Ibo,,210,,100,,105
Ethnic origin population,      Ivorian,,0,,0,,0
Ethnic origin population,      Liberian,,0,,0,,0
Ethnic origin population,      Malian,,0,,0,,0
Ethnic origin population,      Malinké,,0,,0,,0
Ethnic origin population,      Nigerian,,480,,210,,270
Ethnic origin population,      Peulh,,0,,0,,0
Ethnic origin population,      Senegalese,,0,,0,,0
Ethnic origin population,      Sierra Leonean,,30,,10,,20
Ethnic origin population,      Togolese,,0,,10,,0
Ethnic origin population,      Wolof,,0,,0,,0
Ethnic origin population,      Yoruba,,115,,65,,50
Ethnic origin population,      Central and West African origins; n.i.e.,117,70,,35,,35
Ethnic origin population,    North African origins,,3865,,2055,,1815
Ethnic origin population,      Algerian,,55,,30,,25
Ethnic origin population,      Berber,,65,,20,,40
Ethnic origin population,      Coptic,,50,,25,,25
Ethnic origin population,      Dinka,,0,,0,,0
Ethnic origin population,      Egyptian,,1300,,690,,605
Ethnic origin population,      Libyan,,45,,30,,10
Ethnic origin population,      Maure,,0,,0,,0
Ethnic origin population,      Moroccan,,2280,,1200,,1085
Ethnic origin population,      Sudanese,,50,,35,,20
Ethnic origin population,      Tunisian,,280,,150,,125
Ethnic origin population,      North African origins; n.i.e.,118,0,,0,,0
Ethnic origin population,    Southern and East African origins,,2725,,1365,,1365
Ethnic origin population,      Afrikaner,,10,,10,,0
Ethnic origin population,      Amhara,,50,,15,,35
Ethnic origin population,      Bantu; n.o.s.,119,0,,0,,0
Ethnic origin population,      Burundian,,0,,0,,0
Ethnic origin population,      Djiboutian,,20,,10,,10
Ethnic origin population,      Eritrean,,195,,110,,85
Ethnic origin population,      Ethiopian,,285,,140,,145
Ethnic origin population,      Harari,,0,,0,,0
Ethnic origin population,      Kenyan,,85,,30,,55
Ethnic origin population,      Malagasy,,15,,10,,0
Ethnic origin population,      Mauritian,,60,,25,,30
Ethnic origin population,      Oromo,,55,,25,,30
Ethnic origin population,      Rwandan,,0,,0,,0
Ethnic origin population,      Seychellois,,0,,0,,0
Ethnic origin population,      Somali,,220,,110,,105
Ethnic origin population,      South African,,1530,,750,,775
Ethnic origin population,      Tanzanian,,55,,35,,20
Ethnic origin population,      Tigrian,,0,,0,,0
Ethnic origin population,      Ugandan,,25,,20,,0
Ethnic origin population,      Zambian,,30,,10,,25
Ethnic origin population,      Zimbabwean,,70,,40,,30
Ethnic origin population,      Zulu,,0,,0,,0
Ethnic origin population,      Southern and East African origins; n.i.e.,120,130,,65,,65
Ethnic origin population,    Other African origins,,1570,,750,,820
Ethnic origin population,      Black; n.o.s.,121,170,,80,,90
Ethnic origin population,      Other African origins; n.i.e.,122,1415,,680,,740
Ethnic origin population,  Asian origins,,101875,,49200,,52670
Ethnic origin population,    West Central Asian and Middle Eastern origins,,26400,,13100,,13295
Ethnic origin population,      Afghan,,2305,,1145,,1165
Ethnic origin population,      Arab; n.o.s.,123,925,,435,,490
Ethnic origin population,      Armenian,,1415,,650,,770
Ethnic origin population,      Assyrian,,1385,,670,,720
Ethnic origin population,      Azerbaijani,,615,,300,,315
Ethnic origin population,      Georgian,,325,,150,,175
Ethnic origin population,      Hazara,,15,,0,,15
Ethnic origin population,      Iranian,,6685,,3280,,3405
Ethnic origin population,      Iraqi,,3135,,1585,,1550
Ethnic origin population,      Israeli,,4970,,2540,,2430
Ethnic origin population,      Jordanian,,240,,115,,125
Ethnic origin population,      Kazakh,,80,,25,,55
Ethnic origin population,      Kurd,,570,,295,,275
Ethnic origin population,      Kuwaiti,,0,,0,,0
Ethnic origin population,      Kyrgyz,,50,,30,,20
Ethnic origin population,      Lebanese,,1110,,630,,480
Ethnic origin population,      Palestinian,,525,,285,,240
Ethnic origin population,      Pashtun,,80,,50,,30
Ethnic origin population,      Saudi Arabian,,45,,35,,10
Ethnic origin population,      Syrian,,475,,250,,225
Ethnic origin population,      Tajik,,45,,25,,25
Ethnic origin population,      Tatar,,300,,160,,145
Ethnic origin population,      Turk,,1985,,970,,1010
Ethnic origin population,      Turkmen,,70,,35,,35
Ethnic origin population,      Uighur,,20,,10,,10
Ethnic origin population,      Uzbek,,225,,95,,130
Ethnic origin population,      Yemeni,,335,,150,,185
Ethnic origin population,      West Central Asian and Middle Eastern origins; n.i.e.,124,790,,405,,385
Ethnic origin population,    South Asian origins,,31585,,15680,,15900
Ethnic origin population,      Bangladeshi,,230,,125,,105
Ethnic origin population,      Bengali,,160,,75,,85
Ethnic origin population,      Bhutanese,,0,,0,,0
Ethnic origin population,      East Indian,,20595,,10255,,10340
Ethnic origin population,      Goan,,40,,30,,15
Ethnic origin population,      Gujarati,,125,,55,,75
Ethnic origin population,      Kashmiri,,70,,30,,35
Ethnic origin population,      Nepali,,50,,25,,25
Ethnic origin population,      Pakistani,,4570,,2285,,2285
Ethnic origin population,      Punjabi,,1485,,785,,695
Ethnic origin population,      Sinhalese,,145,,80,,65
Ethnic origin population,      Sri Lankan,,3485,,1675,,1805
Ethnic origin population,      Tamil,,1270,,605,,665
Ethnic origin population,      South Asian origins; n.i.e.,125,1765,,885,,880
Ethnic origin population,    East and Southeast Asian origins,,44870,,20930,,23940
Ethnic origin population,      Burmese,,55,,25,,30
Ethnic origin population,      Cambodian (Khmer),,835,,455,,390
Ethnic origin population,      Chinese,,24130,,11685,,12445
Ethnic origin population,      Filipino,,9140,,3745,,5400
Ethnic origin population,      Hmong,,0,,0,,0
Ethnic origin population,      Indonesian,,135,,60,,75
Ethnic origin population,      Japanese,,510,,195,,315
Ethnic origin population,      Karen,,0,,0,,0
Ethnic origin population,      Korean,,5570,,2690,,2880
Ethnic origin population,      Laotian,,325,,175,,150
Ethnic origin population,      Malaysian,,140,,65,,75
Ethnic origin population,      Mongolian,,75,,30,,45
Ethnic origin population,      Singaporean,,20,,0,,15
Ethnic origin population,      Taiwanese,,275,,125,,155
Ethnic origin population,      Thai,,135,,60,,75
Ethnic origin population,      Tibetan,,20,,15,,10
Ethnic origin population,      Vietnamese,,6850,,3200,,3650
Ethnic origin population,      East and Southeast Asian origins; n.i.e.,126,105,,55,,50
Ethnic origin population,    Other Asian origins,,235,,110,,120
Ethnic origin population,      Other Asian origins; n.i.e.,127,230,,110,,120
Ethnic origin population,  Oceania origins,,210,,90,,125
Ethnic origin population,    Australian,,75,,35,,45
Ethnic origin population,    New Zealander,,50,,20,,35
Ethnic origin population,    Pacific Islands origins,,90,,35,,50
Ethnic origin population,      Fijian,,70,,30,,40
Ethnic origin population,      Hawaiian,,0,,0,,0
Ethnic origin population,      Maori,,0,,0,,0
Ethnic origin population,      Polynesian; n.o.s.,128,0,,0,,0
Ethnic origin population,      Samoan,,15,,0,,15
Ethnic origin population,      Pacific Islands origins; n.i.e.,129,15,,0,,10
Household characteristics,Total - Private households by tenure - 25% sample data,130,94255,,,...,
Household characteristics,  Owner,,84490,,,...,
Household characteristics,  Renter,,9765,,,...,
Household characteristics,  Band housing,,0,,,...,
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,131,94255,,,...,
Household characteristics,  Condominium,,13295,,,...,
Household characteristics,  Not condominium,,80960,,,...,
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,132,94250,,,...,
Household characteristics,  No bedrooms,,145,,,...,
Household characteristics,  1 bedroom,,5120,,,...,
Household characteristics,  2 bedrooms,,9200,,,...,
Household characteristics,  3 bedrooms,,28455,,,...,
Household characteristics,  4 or more bedrooms,,51330,,,...,
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,133,94250,,,...,
Household characteristics,  1 to 4 rooms,,13960,,,...,
Household characteristics,  5 rooms,,11665,,,...,
Household characteristics,  6 rooms,,13390,,,...,
Household characteristics,  7 rooms,,14265,,,...,
Household characteristics,  8 or more rooms,,40970,,,...,
Household characteristics,Average number of rooms per dwelling,,7.2,,,...,
Household characteristics,Total - Private households by number of persons per room - 25% sample data,134,94255,,,...,
Household characteristics,  One person or fewer per room,,92125,,,...,
Household characteristics,  More than 1 person per room,,2130,,,...,
Household characteristics,Total - Private households by housing suitability - 25% sample data,135,94250,,,...,
Household characteristics,  Suitable,,89295,,,...,
Household characteristics,  Not suitable,,4960,,,...,
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,136,94250,,,...,
